,degree_i,degree_j,volume_i,volume_j,shortest_path,katz_i,katz_j,pref_attach,pagerank_i,pagerank_j,label,common_neighbors,adamic_adar,jaccard
"(1, 4)",44,51,44,51,4,0.06774632287313982,0.08962406629893069,2244,0.012217055775896234,0.023035062482267835,1,35,8.929476769207508,0.5833333333333334
"(1, 7)",44,66,44,66,3,0.06774632287313982,0.060229470283121464,2904,0.012217055775896234,0.00806386045370394,0,37,9.417130281669195,0.5068493150684932
"(1, 10)",44,64,44,64,3,0.06774632287313982,0.14244655755378902,2816,0.012217055775896234,0.031375081382204385,0,40,10.287817472872385,0.5882352941176471
"(1, 21)",44,51,44,51,2,0.06774632287313982,0.06474584356767747,2244,0.012217055775896234,0.005084272283351166,0,32,8.14946064747054,0.5079365079365079
"(1, 22)",44,27,44,27,2,0.06774632287313982,0.11257220192858998,1188,0.012217055775896234,0.0023990720289550735,0,10,2.5662170507362907,0.16393442622950818
"(1, 23)",44,48,44,48,3,0.06774632287313982,0.15603689811132126,2112,0.012217055775896234,0.00656910713827568,1,22,5.556086625099037,0.3142857142857143
"(1, 24)",44,20,44,20,2,0.06774632287313982,0.014725607996781504,880,0.012217055775896234,0.005181840498528412,0,8,2.0452098159419396,0.14285714285714285
"(1, 25)",44,48,44,48,2,0.06774632287313982,0.08047549048539951,2112,0.012217055775896234,0.0090648480114456,0,31,7.96387770608127,0.5081967213114754
"(1, 26)",44,20,44,20,2,0.06774632287313982,0.05715634595388959,880,0.012217055775896234,0.004654418996974305,0,11,2.8688984552728494,0.20754716981132076
"(1, 32)",44,44,44,44,2,0.06774632287313982,0.061647928271053934,1936,0.012217055775896234,0.009885917992556522,0,18,4.650404782941976,0.2571428571428571
"(1, 34)",44,33,44,33,2,0.06774632287313982,0.11534713721995514,1452,0.012217055775896234,0.013104771142132876,0,13,3.401011693931971,0.203125
"(1, 36)",44,36,44,36,2,0.06774632287313982,0.1286210485361587,1584,0.012217055775896234,0.005564372008647704,0,14,3.611746852479847,0.21212121212121213
"(1, 37)",44,9,44,9,2,0.06774632287313982,-0.0844943474995919,396,0.012217055775896234,0.00984841084713957,0,5,1.2568281735482416,0.10416666666666667
"(1, 39)",44,27,44,27,2,0.06774632287313982,0.01610384994439323,1188,0.012217055775896234,0.015748365906096178,0,11,2.905197604154019,0.18333333333333332
"(1, 40)",44,27,44,27,2,0.06774632287313982,-0.0043322499475773775,1188,0.012217055775896234,0.016644034936211135,0,9,2.287860935134076,0.14516129032258066
"(1, 45)",44,19,44,19,3,0.06774632287313982,-0.1637867252516863,836,0.012217055775896234,0.0018164287865699725,0,13,3.311611413843511,0.26
"(1, 47)",44,31,44,31,2,0.06774632287313982,-0.03147632839936429,1364,0.012217055775896234,0.0024345533652017025,0,19,4.770649262402943,0.3392857142857143
"(1, 48)",44,18,44,18,3,0.06774632287313982,-0.19696302567166538,792,0.012217055775896234,0.017702189969502024,0,10,2.6106600794641834,0.19230769230769232
"(1, 49)",44,14,44,14,3,0.06774632287313982,-0.19539257389008485,616,0.012217055775896234,0.016932565008387346,0,8,2.0964176828098298,0.16
"(1, 50)",44,4,44,4,3,0.06774632287313982,-0.13156831667975658,176,0.012217055775896234,0.0015806009339959955,0,1,0.2442393366759723,0.02127659574468085
"(1, 51)",44,36,44,36,2,0.06774632287313982,0.11537787181217882,1584,0.012217055775896234,0.01502923767778599,0,17,4.447409286502916,0.2698412698412698
"(1, 52)",44,39,44,39,3,0.06774632287313982,0.08046658007490012,1716,0.012217055775896234,0.011821562178836413,0,16,4.171380828549425,0.23880597014925373
"(1, 53)",44,5,44,5,2,0.06774632287313982,-0.10108798080157545,220,0.012217055775896234,0.0015810468966275886,0,1,0.24954251462921184,0.020833333333333332
